date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:35:25	141319/141319	---M-Z	200	added ('OK')	text/html	etag:%2222807-677dbd0b-ed8a138f824f56b9;gz%22	https://trade.corenetmine.com/cor/mine.html	C:/Users/USER/3D%20Objects/pi/trade.corenetmine.com/cor/mine.html	(from )
22:35:27	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Mar%202025%2021:35:25%20GMT	https://trade.corenetmine.com/robots.txt		(from )
22:35:27	3470/3470	---M-Z	200	added ('OK')	text/html	etag:%22d8e-665efa50-431d96e3be43d2cb;gz%22	https://trade.corenetmine.com/cor/cdn-cookieyes.com/client_data/3f6b9ce446dbb69dfe482b6f/script.html	C:/Users/USER/3D%20Objects/pi/trade.corenetmine.com/cor/cdn-cookieyes.com/client_data/3f6b9ce446dbb69dfe482b6f/script.html	(from https://trade.corenetmine.com/cor/mine.html)
22:35:28	124960/124960	---M-Z	200	added ('OK')	text/html	etag:%221e820-665ef31e-442675764de512cb;gz%22	https://trade.corenetmine.com/cor/index-2.html	C:/Users/USER/3D%20Objects/pi/trade.corenetmine.com/cor/index-2.html	(from https://trade.corenetmine.com/cor/mine.html)
22:35:29	7277/7277	---M-Z	200	added ('OK')	text/html	etag:%221c6d-665ef3ba-5a06d2be2a77aef2;gz%22	https://trade.corenetmine.com/cor/feed/index.html	C:/Users/USER/3D%20Objects/pi/trade.corenetmine.com/cor/feed/index.html	(from https://trade.corenetmine.com/cor/mine.html)
22:35:30	757/757	---M-Z	200	added ('OK')	text/html	etag:%222f5-665ef5a0-fb453e143ac5af36;gz%22	https://trade.corenetmine.com/cor/comments/feed/index.html	C:/Users/USER/3D%20Objects/pi/trade.corenetmine.com/cor/comments/feed/index.html	(from https://trade.corenetmine.com/cor/mine.html)
22:35:30	41469/41469	---M-Z	200	added ('OK')	text/css	etag:%22a1fd-665efb02-1aa0c22cf172331f;gz%22	https://trade.corenetmine.com/cor/wp-content/plugins/genesis-blocks/dist/style-blocks.build2ca02ca02ca0.css?ver=1691095853	C:/Users/USER/3D%20Objects/pi/trade.corenetmine.com/cor/wp-content/plugins/genesis-blocks/dist/style-blocks.build2ca02ca02ca02ca0.css	(from https://trade.corenetmine.com/cor/mine.html)
22:35:31	110035/110035	---M-Z	200	added ('OK')	text/css	etag:%221add3-665f029a-edbfcb33eefe27c5;gz%22	https://trade.corenetmine.com/cor/wp-includes/css/dist/block-library/style.min1e391e391e39.css?ver=6.4.2	C:/Users/USER/3D%20Objects/pi/trade.corenetmine.com/cor/wp-includes/css/dist/block-library/style.min1e391e391e391e39.css	(from https://trade.corenetmine.com/cor/mine.html)
22:35:31	13639/13639	---M-Z	200	added ('OK')	text/css	etag:%223547-665efafe-f661221cee7c06f2;gz%22	https://trade.corenetmine.com/cor/wp-content/plugins/dvfaq/css/style515251525152.css?ver=1.0	C:/Users/USER/3D%20Objects/pi/trade.corenetmine.com/cor/wp-content/plugins/dvfaq/css/style5152515251525152.css	(from https://trade.corenetmine.com/cor/mine.html)
22:35:31	9665/9665	---M-Z	200	added ('OK')	text/css	etag:%2225c1-665efaf8-8ef81e78ca5bf938;gz%22	https://trade.corenetmine.com/cor/wp-content/plugins/dvfaq/css/skins515251525152.css?ver=1.0	C:/Users/USER/3D%20Objects/pi/trade.corenetmine.com/cor/wp-content/plugins/dvfaq/css/skins5152515251525152.css	(from https://trade.corenetmine.com/cor/mine.html)
